Symbol 1,Symbol 2,APR,SHARPE,
MDT,PYPL,-0.056753839489294,-0.179406889896787,-172.714160473684
AMT,UNH,-0.056418494655963,-0.393255775722123,-734.993203684211
CSCO,CVS,-0.0562407426162969,-0.373851895649769,-137.985789473684
NKE,PFE,-0.0561530131243457,-0.246911850041223,-165.519803368421
AXP,DIS,-0.0560374289248717,-0.295183342741233,-258.287368421053
CSCO,UNH,-0.0558758011479961,-0.378883464667634,-527.544224210526
ADBE,ORCL,-0.0558313653693272,-0.253209127716941,-470.196315789474
BLK,LMT,-0.055752711410533,-0.32289143049769,-1066.00874421053
CVX,NVDA,-0.0557344047002328,-0.0927936246500627,-343.052578421053
DHR,UNH,-0.0547798200861098,-0.402450792051821,-737.990385263158
AMT,NFLX,-0.054277775879624,-0.144069491492022,-438.807400526316
CVS,ZTS,-0.0542217293456234,-0.323402363714449,-259.163157894737
CVS,NKE,-0.0529565154698844,-0.240049858359329,-208.239803368421
AVGO,WMT,-0.0522031503157427,-0.22631559970274,-660.472005789474
NOC,SCHW,-0.0521665993952654,-0.220604430451872,-529.702028421053
AXP,NFLX,-0.0519030608293992,-0.0742612928445933,-343.431052631579
CI,CVX,-0.0518941882674682,-0.223578877924369,-424.735484210526
BLK,RTX,-0.0517401920271752,-0.349762233257335,-730.486663157895
INTU,XOM,-0.0517312617193153,-0.122504724419986,-490.967368421053
BAC,QCOM,-0.0510871726118891,-0.138165234208409,-167.639177684211
PM,QCOM,-0.0510127003329326,-0.153722850946372,-236.01968
ISRG,T,-0.0506668302486524,-0.18915968726881,-229.89
LMT,UNH,-0.050130963931892,-0.341086275484637,-913.193673684211
HD,LMT,-0.0498496478803809,-0.306290290454814,-719.901745789474
MMM,NOC,-0.0496152704951703,-0.325757853450871,-604.696765263158
NOC,SBUX,-0.0495974329572686,-0.228342122038641,-540.226238947368
CVS,HD,-0.0495256158605931,-0.306447782400588,-383.522296315789
ABT,PM,-0.0495081122763497,-0.297664227789102,-213.397894736842
GOOGL,PYPL,-0.0492883196436299,-0.132224819368278,-2320.42052631579
MDLZ,UNH,-0.0492276667915515,-0.440947681814036,-544.437908421053
PFE,TXN,-0.0490404241041004,-0.203978351996773,-213.906315789474
PFE,SPGI,-0.0488344489900125,-0.233012635959163,-384.622105263158
ANTM,HON,-0.0488035049196967,-0.300025306406751,-670.887382105263
DIS,PM,-0.048582145610634,-0.238053974787494,-204.58
AMD,AXP,-0.0479094014101817,-0.0650135616824909,-251.288421052632
NFLX,PFE,-0.0478366311497793,-0.0650819215722802,-237.908421052632
AMT,ISRG,-0.0477971684317741,-0.2282074933553,-461.181611052632
GOOG,PYPL,-0.0477880262032292,-0.126032575865409,-2327.46263157895
CVS,DHR,-0.047266597049854,-0.24830130194983,-348.431950526316
CB,CMCSA,-0.0471172943296156,-0.309494386854261,-242.931650526316
CVX,ISRG,-0.0471023303268348,-0.146594607199045,-377.712631578947
MMM,PM,-0.047096922331286,-0.35720956035577,-242.935263157895
CVS,T,-0.0470848105917464,-0.300053811552648,-114.143157894737
CVS,TMUS,-0.0470690203659527,-0.257106209720377,-225.748947368421
MSFT,UNH,-0.0470661418904204,-0.310496342908227,-743.94054
BMY,SCHW,-0.0470351830201443,-0.227860159092942,-140.482631578947
PYPL,XOM,-0.0466946159367497,-0.0480887589049933,-175.952631578947
CCI,CVS,-0.0465180856320273,-0.260302311529321,-267.997781578947
INTU,NOC,-0.0462102475742364,-0.149038624567775,-859.487817894737
